;힘->근거리		민첩->원거리		"지능->흑,백마법"		근거리(공)		원거리(공)		근거리	원거리	흑마법(공)		백마법(공)		흑마법	백마법	근거리	원거리	흑마법	백마법
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
