; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	정보1	정보2	레벨정보	공격거리
100010014	브라이트실드	브라이트실드	12063	0	7	14	0	0	0	0	0	70	0	60	67	2	2	50	0	81	1	10	1800000	2	79	0	0	10119	브라이트실드	물리 공격으로 받는 피해를 줄이고,	일반 마법에도 강한 저항력을 제공합니다.	백마법60	강화 효과(자신과 대상)
100010015	프로텍션실드	프로텍션실드	12064	0	7	15	0	0	0	0	0	90	0	85	92	2	2	70	0	121	1	10	1800000	2	80	0	0	12063	프로텍션실드	물리 공격으로 받는 피해를 줄이고,	일반 마법에도 강한 저항력을 제공합니다.	백마법80	강화 효과(자신과 대상)
100010016	윈드스톰	윈드스톰	12065	0	6	0	0	0	0	0	0	75	0	155	162	0	0	0	0	91	0	10	0	2	81	0	0	10120	윈드스톰	작은 마법 폭풍으로 적을 공격합니다.		백마법70	범위 공격
100010017	토네이도	토네이도	12066	0	6	0	0	3	0	0	0	95	0	215	222	0	0	0	0	126	0	9	0	8	82	10	0	12065	토네이도	강력한 회오리바람으로	일직선상의 적들을 공격합니다.	백마법90	범위 공격
100010018	리커버리힐링	리커버리힐링	12067	0	7	0	0	0	0	0	0	45	0	57	64	0	0	0	0	41	1	1	0	2	83	0	0	10115	리커버리힐링	전투에서 입은 상처를 치유합니다.		백마법40	단일 대상
100010019	그레이트힐링	그레이트힐링	12068	0	7	0	0	0	0	0	0	65	0	82	92	0	0	0	0	56	1	1	0	2	84	0	0	12067	그레이트힐링	전투에서 입은 상처를 치유합니다.		백마법60	단일 대상
100010020	큐어운즈	큐어운즈	12069	0	7	0	0	0	0	0	0	85	0	79	86	0	0	0	0	71	2	7	0	2	85	0	0	10389	큐어운즈	전투에서 입은 상처를 치유합니다.		백마법80	자신과 대상
100010021	힐	힐	12070	0	7	0	0	0	0	0	0	105	0	104	111	0	0	0	0	81	2	7	0	2	86	0	0	12069	힐	전투에서 입은 상처를 치유합니다.		백마법100	자신과 대상
100010022	그라운드스톤	그라운드스톤	12071	0	6	0	0	0	0	0	0	90	0	199	206	0	0	0	0	111	0	10	0	3	87	0	0	10390	그라운드스톤	땅에서 날카로운 돌을 솟게 하여 공격합니다.		백마법85	단일 대상
100010023	그라운드크레이	그라운드크레이	12072	0	6	0	0	0	0	0	0	110	0	267	274	0	0	0	0	151	0	10	0	4	88	0	0	12071	그라운드크레이	땅에서 흙 송곳을 솟게 하여 공격합니다.		백마법100	자신과 대상
100020000	듀얼플레임애로우	듀얼플레임애로우	12073	0	4	0	0	0	0	0	30	0	0	63	73	0	0	0	0	38	0	13	0	2	89	0	0	10103	듀얼플레임애로우	강력한 화염 화살 네 줄기를 발사합니다.		흑마법25	단일 대상
100020001	트리플플래임애로우	트리플플래임애로우	12074	0	4	0	0	0	0	0	50	0	0	107	117	0	0	0	0	54	0	13	0	3	90	0	0	12073	트리플플래임애로우	강력한 화염 화살 여섯 줄기를 발사합니다.		흑마법45	단일 대상
100020002	플래밍스코룸	플래밍스코룸	12075	0	4	0	0	0	0	0	35	0	0	73	83	0	0	0	0	43	0	9	0	2	91	0	0	10104	플래밍스코룸	거대한 화염 덩어리로 마법 공격을 가합니다.		흑마법30	단일 대상
100020003	스트라이크코룸	스트라이크코룸	12076	0	4	0	0	0	0	0	55	0	0	119	129	0	0	0	0	56	0	9	0	3	92	0	0	12075	스트라이크코룸	거대한 불기둥을 일직선으로 발사합니다.		흑마법50	단일 대상
100020004	다크플래듀스플래임	다크플래듀스플래임	12077	0	4	0	0	0	0	0	40	0	0	84	94	0	0	0	0	47	0	9	0	2	93	0	0	10105	다크플래듀스플래임	어둠과 빛을 섞어	강력한 광선으로 공격합니다.	흑마법35	단일 대상
100020005	데쓰플래듀스플래임	데쓰플래듀스플래임	12078	0	4	0	0	0	0	0	60	0	0	132	142	0	0	0	0	62	0	9	0	3	94	0	0	12077	데쓰플래듀스플래임	어둠과 빛을 섞어	강력한 광선으로 공격합니다.	흑마법55	범위 공격
100020006	다크파이어볼	다크파이어볼	12079	0	4	0	0	0	0	0	45	0	0	95	105	0	0	0	0	52	0	9	0	2	95	0	0	10106	다크파이어볼	적의 머리 위에서	강력한 화염구를 떨어뜨립니다.	흑마법40	단일 대상
100020007	데쓰파이어볼	데쓰파이어볼	12080	0	4	0	0	0	0	0	65	0	0	145	155	0	0	0	0	70	0	9	0	3	96	0	0	12079	데쓰파이어볼	적의 머리 위에서	강력한 화염구를 떨어뜨립니다.	흑마법60	단일 대상
100020008	다크파이어피어스	다크파이어피어스	12081	0	4	0	0	0	0	0	50	0	0	107	117	0	0	0	0	54	0	7	0	8	97	8	0	10107	다크파이어피어스	어둠의 불꽃으로 적을 공격합니다.		흑마법45	범위 공격
100020009	데쓰파이어피어스	데쓰파이어피어스	12082	0	4	0	0	3	0	0	70	0	0	159	169	0	0	0	0	76	0	8	0	8	98	9	0	12081	데쓰파이어피어스	죽음의 불꽃으로 적을 공격합니다.		흑마법65	범위 공격
100020010	다크파이어챈트	다크파이어챈트	12083	0	5	16	0	0	0	0	70	0	0	59	69	1	2	50	0	76	1	10	1800000	2	99	0	0	10110	다크파이어챈트	불의 정령의 힘으로 자신과 다른 대상 한 명의	공격력을 높입니다.	흑마법60	강화 효과(자신과 대상)
100020011	데쓰파이어오러	데쓰파이어오러	12084	0	5	17	0	0	0	0	90	0	0	84	94	1	2	70	0	102	1	10	1800000	2	100	0	0	12083	데쓰파이어오러	불의 정령의 힘으로 자신과 다른 대상 한 명의	공격력을 높입니다.	흑마법80	강화 효과(자신과 대상)
100020012	다크파이어코룸	다크파이어코룸	12085	0	4	0	0	1	0	0	95	0	0	238	248	0	0	0	0	113	0	9	0	8	101	10	0	10388	다크파이어코룸	시전자 주위에 불의 장막을 만들어 공격합니다.		흑마법90	범위 공격
100020013	데쓰파이어코룸헬	데쓰파이어코룸헬	12086	0	4	0	0	1	0	0	115	0	0	312	322	0	0	0	0	234	0	10	0	8	102	11	0	12085	데쓰파이어코룸헬	시전자 주위에 불의 장막을 만들어 공격합니다.		흑마법100	범위 공격
100020014	프로듀스아이스애로우	프로듀스아이스애로우	12087	0	4	0	0	0	0	0	60	0	0	132	142	0	0	0	0	62	0	10	0	2	103	0	0	10108	프로듀스아이스애로우	얼어붙은 수증기로 운석을 만들어 공격합니다.		흑마법55	단일 대상
100020015	프로듀스아이스버그	프로듀스아이스버그	12088	0	4	0	0	0	0	0	80	0	0	189	199	0	0	0	0	86	0	10	0	3	104	0	0	12087	프로듀스아이스버그	얼어붙은 수증기를 내뿜어 공격합니다.		흑마법75	단일 대상
100020016	아이스스워드코룸	아이스스워드코룸	12089	0	4	0	0	0	0	0	65	0	0	145	155	0	0	0	0	50	0	9	0	2	105	0	0	10109	아이스스워드코룸	땅에서 단단한 얼음 줄기를 솟게 합니다.		흑마법60	단일 대상
100020017	아이스스워드헬	아이스스워드헬	12090	0	4	0	0	2	0	0	85	0	0	204	214	0	0	0	0	97	0	9	0	8	106	10	0	12089	아이스스워드헬	지정한 범위에 단단한 얼음 줄기를 솟게 합니다.		흑마법80	범위 공격
100020018	스파이크아이스웨이브	스파이크아이스웨이브	12091	0	4	0	0	0	0	0	75	0	0	174	184	0	0	0	0	86	0	10	0	2	107	0	0	10111	스파이크아이스웨이브	시전자에게서 거대한 얼음 기둥을 발사합니다.		흑마법70	범위 공격
100020019	스파이크아이스메테오	스파이크아이스메테오	12092	0	4	0	0	0	0	0	95	0	0	238	248	0	0	0	0	102	0	10	0	3	108	0	0	12091	스파이크아이스메테오	하늘에서 거대한 얼음 덩어리를	대상에게 떨어뜨립니다.	흑마법90	범위 공격
100020020	헬스크림	헬스크림	12093	0	4	0	0	0	0	0	85	0	0	204	214	0	0	0	0	97	0	9	20000	2	109	0	0	10386	헬스크림	일정 시간 동안 적의 체력을 감소시킵니다.		흑마법80	단일 대상
100020021	컬렙스	컬렙스	12094	0	4	0	0	0	0	0	105	0	0	252	262	0	0	0	0	123	0	9	20000	3	110	0	0	12093	컬렙스	여러 해골로 적의 체력을 감소시킵니다.		흑마법100	범위 공격
100020022	데드포그	데드포그	12095	0	4	0	0	0	0	0	90	0	0	220	230	0	0	0	0	102	0	10	0	3	111	0	0	10387	데드포그	해당 지역에 강력한 산성 안개를 만듭니다.		흑마법85	단일 대상
100020023	데쓰포그킬	데쓰포그킬	12096	0	4	0	0	0	0	0	110	0	0	292	302	0	0	0	0	184	0	10	0	4	112	0	0	12095	데쓰포그킬	해당 지역에 강력한 산성 안개를 만듭니다.		흑마법100	단일 대상
100030001	헤븐 페너트레이션	mt_heaven	19120	0	2	0	0	2	0	140	0	0	0	560	620	0	0	0	0	140	0	11	0	8	124	5	0	0	헤븐 페너트레이션	3회 연속 공격.	MP 140 / 재사용 8초	원거리 140	대상 중심 범위 5
100030002	식스폴드 샷	mt_six	19121	0	2	0	0	0	0	140	0	0	0	380	420	0	0	0	0	150	0	11	0	9	125	0	0	0	식스폴드 샷	6회 연속 공격.	MP 150 / 재사용 9초	원거리 140	단일 대상
100030003	메테오 버스트	mt_meteor	19122	0	4	0	0	2	0	0	140	0	0	550	610	0	0	0	0	320	0	10	0	4	126	6	0	0	메테오 버스트	7회 연속 공격.	MP 320 / 재사용 4초	흑마법 140	대상 중심 범위 6
100030004	아일랜드 오브 코시투스	mt_frost	19123	0	4	0	0	2	0	0	140	0	0	1120	1230	0	0	0	0	280	0	10	0	4	127	6	0	0	아일랜드 오브 코시투스	3회 연속 공격.	MP 280 / 재사용 4초	흑마법 140	대상 중심 범위 6
