; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
100010012	윈드볼	위드볼	12061	0	6	0	0	0	0	0	0	65	0	452	474	0	0	0	0	71	0	14	0	2	77	0	0	10118	윈드볼	0	0	0	100
100010013	윈드스피어	윈드스피어	12062	0	6	0	0	0	0	0	0	85	0	641	672	0	0	0	0	96	0	14	0	3	64	0	0	12061	윈드스피어	0	0	0	100
100010014	브라이트실드	브라이트실드	12063	0	7	14	0	0	0	0	0	70	0	216	227	2	2	50	0	81	2	10	1800000	2	79	0	0	10119	브라이트실드	0	0	0	100
100010015	프로텍션실드	프로텍션실드	12064	0	7	15	0	0	0	0	0	90	0	305	320	2	2	70	0	121	2	10	1800000	2	80	0	0	12063	프로텍션실드	0	0	0	100
100010016	윈드스톰	윈드스톰	12065	0	6	0	0	0	0	0	0	75	0	542	569	0	0	0	0	91	0	10	0	2	81	0	0	10120	윈드스톰	0	0	0	100
100010017	토네이도	토네이도	12066	0	6	0	0	2	0	0	0	95	0	747	785	0	0	0	0	126	0	10	0	5	61	6	0	12065	토네이도	0	0	0	100
100010018	리커버리힐링	리커버리힐링	12067	0	7	0	0	0	0	0	0	45	0	203	213	0	0	0	0	41	1	1	0	2	83	0	0	10115	리커버리힐링	0	0	0	100
100010019	그레이트힐링	그레이트힐링	12068	0	7	0	0	0	0	0	0	65	0	288	303	0	0	0	0	56	1	1	0	2	84	0	0	12067	그레이트힐링	0	0	0	100
100010020	큐어운즈	큐어운즈	12069	0	7	0	0	2	0	0	0	85	0	281	294	0	0	0	0	71	2	7	0	2	85	4	0	10389	큐어운즈	0	0	0	100
100010021	힐	힐	12070	0	7	0	0	0	0	0	0	105	0	366	384	0	0	0	0	81	2	7	0	2	86	0	0	12069	힐	0	0	0	100
100010022	그라운드스톤	그라운드스톤	12071	0	6	0	0	0	0	0	0	90	0	692	726	0	0	0	0	111	0	12	0	3	87	0	0	10390	그라운드스톤	0	0	0	100
100010023	그라운드크레이	그라운드크레이	12072	0	6	0	0	0	0	0	0	110	0	1223	1269	0	0	0	0	151	0	12	0	4	88	0	0	12071	그라운드크레이	0	0	0	100
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호		0	0	100	0
100020000	듀얼플래임애로우	듀얼플레임애로우	12073	0	4	0	0	0	0	0	30	0	0	225	233	0	0	0	0	38	0	13	0	2	89	0	0	10103	듀얼플레임애로우	0	0	100	0
100020001	트리플플래임애로우	트리플플래임애로우	12074	0	4	0	0	0	0	0	50	0	0	383	390	0	0	0	0	54	0	13	0	3	90	0	0	12073	트리플플래임애로우	0	0	100	0
100020002	플래밍코룸	플래밍스코룸	12075	0	4	0	0	0	0	0	35	0	0	261	269	0	0	0	0	43	0	9	0	2	91	0	0	10104	플래밍스코룸	0	0	100	0
100020003	스트라이크코룸	스트라이크코룸	12076	0	4	0	0	0	0	0	55	0	0	428	435	0	0	0	0	56	0	9	0	3	92	0	0	12075	스트라이크코룸	0	0	100	0
100020004	다크프로듀스플래임	다크플래듀스플래임	12077	0	4	0	0	2	0	0	40	0	0	302	309	0	0	0	0	47	0	9	0	2	93	4	0	10105	다크플래듀스플래임	0	0	100	0
100020005	데쓰프로듀스플래임	데쓰플래듀스플래임	12078	0	4	0	0	0	0	0	60	0	0	473	480	0	0	0	0	62	0	9	0	3	94	0	0	12077	데쓰플래듀스플래임	0	0	100	0
100020006	다크파이어볼	다크파이어볼	12079	0	4	0	0	0	0	0	45	0	0	342	347	0	0	0	0	52	0	9	0	2	95	0	0	10106	다크파이어볼	0	0	100	0
100020007	데쓰파이어볼	데쓰파이어볼	12080	0	4	0	0	0	0	0	65	0	0	522	527	0	0	0	0	70	0	9	0	3	96	0	0	12079	데쓰파이어볼	0	0	100	0
100020008	다크파이어피어스	다크파이어피어스	12081	0	4	0	0	0	0	0	50	0	0	383	390	0	0	0	0	54	0	8	0	2	97	0	0	10107	다크파이어피어스	0	0	100	0
100020009	데쓰파이어피어스	데쓰파이어피어스	12082	0	4	0	0	3	0	0	70	0	0	572	579	0	0	0	0	76	0	9	0	4	98	11	0	12081	데쓰파이어피어스	0	0	100	0
100020010	다크파이어챈트	다크파이어챈트	12083	0	5	16	0	0	0	0	70	0	0	212	219	1	2	50	0	76	2	10	1800000	2	99	0	0	10110	다크파이어챈트	0	0	100	0
100020011	데쓰파이어오러	데쓰파이어오러	12084	0	5	17	0	0	0	0	90	0	0	302	309	1	2	70	0	102	2	10	1800000	2	100	0	0	12083	데쓰파이어오러	0	0	100	0
100020012	다크파이어코룸	다크파이어코룸	12085	0	4	0	0	1	0	0	95	0	0	855	863	0	0	0	0	113	0	2	0	4	101	4	0	10388	다크파이어코룸	0	0	100	0
100020013	데쓰파이어코룸헬	데쓰파이어코룸헬	12086	0	4	0	0	2	0	0	115	0	0	1418	1493	0	0	0	0	234	0	10	0	3	88	4	0	12085	데쓰파이어코룸헬	0	0	100	0
100020014	프로듀스아이스애로우	프로듀스아이스애로우	12087	0	4	0	0	0	0	0	60	0	0	473	480	0	0	0	0	62	0	10	0	2	103	0	0	10108	프로듀스아이스애로우	0	0	100	0
100020015	프로듀스아이스버그	프로듀스아이스버그	12088	0	4	0	0	0	0	0	80	0	0	680	687	0	0	0	0	86	0	10	0	3	104	0	0	12087	프로듀스아이스버그	0	0	100	0
100020016	아이스스워드코룸	아이스스워드코룸	12089	0	4	0	0	0	0	0	65	0	0	522	527	0	0	0	0	50	0	9	0	2	105	0	0	10109	아이스스워드코룸	0	0	100	0
100020017	아이스스워드헬	아이스스워드헬	12090	0	4	0	0	2	0	0	85	0	0	734	741	0	0	0	0	97	0	10	0	5	86	4	0	12089	아이스스워드헬	0	0	100	0
100020018	스파이크아이스웨이브	스파이크아이스웨이브	12091	0	4	0	0	0	0	0	75	0	0	626	633	0	0	0	0	86	0	10	0	2	107	0	0	10111	스파이크아이스웨이브	0	0	100	0
100020019	스파이크아이스메테오	스파이크아이스메테오	12092	0	4	0	0	2	0	0	95	0	0	855	863	0	0	0	0	102	0	10	0	3	87	4	0	12091	스파이크아이스메테오	0	0	100	0
100020020	헬스크림	헬스크림	12093	0	4	0	0	0	0	0	85	0	0	626	641	0	0	0	0	97	0	9	20000	2	109	0	0	10386	헬스크림	0	0	100	0
100020021	컬렙스	컬렙스	12094	0	4	0	0	2	0	0	105	0	0	828	843	0	0	0	0	123	0	9	20000	3	110	3	0	12093	컬렙스	0	0	100	0
100020022	데드포그	데드포그	12095	0	4	0	0	0	0	0	90	0	0	792	797	0	0	0	0	102	0	10	0	3	111	0	0	10387	데드포그	0	0	100	0
100020023	데쓰포그킬	데쓰포그킬	12096	0	4	0	0	0	0	0	110	0	0	1349	1491	0	0	0	0	184	0	10	0	4	112	0	0	12095	데쓰포그킬	0	0	100	0
100030001	헤븐 페너트레이션	mt_heaven	19120	0	2	0	0	2	0	140	0	0	0	560	620	0	0	0	0	140	0	11	0	8	124	5	0	0	헤븐 페너트레이션	0	100	0	0
100030002	식스폴드 샷	mt_six	19121	0	2	0	0	0	0	140	0	0	0	380	420	0	0	0	0	150	0	11	0	9	125	0	0	0	식스폴드 샷	0	100	0	0
100030003	메테오 버스트	mt_meteor	19122	0	4	0	0	2	0	0	140	0	0	550	610	0	0	0	0	320	0	10	0	4	126	6	0	0	메테오 버스트	0	0	100	0
100030004	아일랜드 오브 코시투스	mt_frost	19123	0	4	0	0	2	0	0	140	0	0	1120	1230	0	0	0	0	280	0	10	0	4	127	6	0	0	아일랜드 오브 코시투스	0	0	100	0
