;	아이템번호	한글이름	영문	종류	레벨	최소공격	최대공격	최소마법	최대마법	슬롯갯수	확률	착용직업	공격 범위	내구력	내구력경험치	공격속도	아이템속성	아이템성향	아이템무게	필요힘	필요지혜	필요민첩	필요카리스마	수리가격	판매가격	구입가격	힘+	지혜+	민첩+	카리스마+	체력+	마나+	물리데미지+	마법데미지+	방어력+	마법저항+	근거리	원거리	흑마법	백마법	힘-	지혜-	민첩-	카리스마-	체력-	마나-	물리데미지	마법데미지	방어력	마법저항	근거리	원거리	흑마법	백마법	남자이미지	2	3	4	5	남자스킨	여자이미지	2	3	4	5	여자스킨		
636	5	+5 합금양손검	+5 합금양손검	2	1	26	44	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	154	1533	3066	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	15	0
637	6	+6 합금양손검	+6 합금양손검	2	1	34	52	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	169	1689	3378	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	22	0
638	7	+7 합금양손검	+7 합금양손검	2	1	40	58	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	186	1860	3720	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	27	0
639	8	+8 합금양손검	+8 합금양손검	2	1	50	68	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	205	2046	4092	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	35	0
640	9	+9 합금양손검	+9 합금양손검	2	1	60	78	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	226	2253	4506	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	44	0
641	10	+10 합금양손검	+10 합금양손검	2	1	74	92	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	249	2481	4962	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	55	0
642	11	+11 합금양손검	+11 합금양손검	2	1	88	106	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	273	2730	5460	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	67	0
643	12	+12 합금양손검	+12 합금양손검	2	1	104	122	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	301	3003	6006	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	80	0
644	13	+13 합금양손검	+13 합금양손검	2	1	122	140	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	331	3306	6612	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	95	0
645	14	+14 합금양손검	+14 합금양손검	2	1	141	159	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	364	3639	7278	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	111	0
646	15	+15 합금양손검	+15 합금양손검	2	1	161	179	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	401	4005	8010	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	128	0
647	16	+16 합금양손검	+16 합금양손검	2	1	185	203	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	441	4407	8814	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	148	0
648	17	+17 합금양손검	+17 합금양손검	2	1	212	230	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	485	4848	9696	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	170	0
649	18	+18 합금양손검	+18 합금양손검	2	1	242	260	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	534	5334	10668	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	195	0
650	19	+19 합금양손검	+19 합금양손검	2	1	276	294	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	587	5868	11736	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	224	0
651	20	+20 합금양손검	+20 합금양손검	2	1	315	333	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	646	6456	12912	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	Ws_0013_1.mod	Ws_0013_2.mod	Ws_0013_3.mod	Ws_0013.tga	Ws_0013.tga	0	256	0
652	0	도살의 검	도살의 검	2	1	11	29	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	142	1419	2838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	0	0
653	1	+1 도살의 검	+1 도살의 검	2	1	14	32	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	157	1563	3126	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	2	0
654	2	+2 도살의 검	+2 도살의 검	2	1	16	34	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	173	1722	3444	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	4	0
655	3	+3 도살의 검	+3 도살의 검	2	1	23	41	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	190	1896	3792	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	10	0
656	4	+4 도살의 검	+4 도살의 검	2	1	27	45	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	209	2088	4176	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	13	0
657	5	+5 도살의 검	+5 도살의 검	2	1	30	48	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	230	2298	4596	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	16	0
658	6	+6 도살의 검	+6 도살의 검	2	1	40	58	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	253	2529	5058	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	24	0
659	7	+7 도살의 검	+7 도살의 검	2	1	47	65	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	279	2784	5568	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	30	0
660	8	+8 도살의 검	+8 도살의 검	2	1	58	76	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	307	3063	6126	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	39	0
661	9	+9 도살의 검	+9 도살의 검	2	1	70	88	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	338	3372	6744	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	49	0
662	10	+10 도살의 검	+10 도살의 검	2	1	84	102	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	372	3711	7422	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	61	0
663	11	+11 도살의 검	+11 도살의 검	2	1	100	118	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	409	4083	8166	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	74	0
664	12	+12 도살의 검	+12 도살의 검	2	1	118	136	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	450	4494	8988	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	89	0
665	13	+13 도살의 검	+13 도살의 검	2	1	138	156	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	495	4944	9888	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	106	0
666	14	+14 도살의 검	+14 도살의 검	2	1	159	177	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	544	5439	10878	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	123	0
667	15	+15 도살의 검	+15 도살의 검	2	1	182	200	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	599	5985	11970	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	142	0
668	16	+16 도살의 검	+16 도살의 검	2	1	208	226	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	659	6585	13170	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	164	0
669	17	+17 도살의 검	+17 도살의 검	2	1	238	256	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	725	7245	14490	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	189	0
670	18	+18 도살의 검	+18 도살의 검	2	1	272	290	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	798	7971	15942	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	217	0
671	19	+19 도살의 검	+19 도살의 검	2	1	310	328	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	877	8769	17538	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	249	0
672	20	+20 도살의 검	+20 도살의 검	2	1	353	371	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	965	9648	19296	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	Ws_0029_1.mod	Ws_0029_2.mod	Ws_0029_3.mod	Ws_0029.tga	Ws_0029.tga	0	285	0
673	0	청동양손검	청동양손검	2	1	15	33	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	213	2130	4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	0	0
674	1	+1 청동양손검	+1 청동양손검	2	1	17	35	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	235	2343	4686	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	2	0
675	2	+2 청동양손검	+2 청동양손검	2	1	20	38	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	258	2580	5160	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	4	0
676	3	+3 청동양손검	+3 청동양손검	2	1	28	46	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	284	2838	5676	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	11	0
677	4	+4 청동양손검	+4 청동양손검	2	1	32	50	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	313	3123	6246	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	14	0
678	5	+5 청동양손검	+5 청동양손검	2	1	35	53	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	344	3438	6876	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	17	0
679	6	+6 청동양손검	+6 청동양손검	2	1	46	64	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	379	3783	7566	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	26	0
680	7	+7 청동양손검	+7 청동양손검	2	1	53	71	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	417	4164	8328	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	32	0
681	8	+8 청동양손검	+8 청동양손검	2	1	65	83	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	459	4581	9162	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	42	0
682	9	+9 청동양손검	+9 청동양손검	2	1	80	98	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	504	5040	10080	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	54	0
683	10	+10 청동양손검	+10 청동양손검	2	1	95	113	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	555	5544	11088	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	67	0
684	11	+11 청동양손검	+11 청동양손검	2	1	112	130	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	610	6099	12198	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	81	0
685	12	+12 청동양손검	+12 청동양손검	2	1	132	150	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	672	6711	13422	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	98	0
686	13	+13 청동양손검	+13 청동양손검	2	1	154	172	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	739	7383	14766	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	116	0
687	14	+14 청동양손검	+14 청동양손검	2	1	177	195	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	813	8124	16248	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	135	0
688	15	+15 청동양손검	+15 청동양손검	2	1	203	221	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	894	8937	17874	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	157	0
689	16	+16 청동양손검	+16 청동양손검	2	1	232	250	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	984	9831	19662	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	181	0
690	17	+17 청동양손검	+17 청동양손검	2	1	264	282	0	0	0	0	0	2	50	0	1	0	0	0	0	0	0	0	1082	10815	21630	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	Ws_0020_1.mod	Ws_0020_2.mod	Ws_0020_3.mod	Ws_0020.tga	Ws_0020.tga	0	208	0
